versionCreated,headline,date
2025-03-18 22:28:09.287,Thai Stock Market Rescue Efforts Falter,2025-03-18
2025-03-18 16:22:24.649,"THAILAND: FOOD AND BEVERAGE SECTOR PULSE DAILY TUESDAY MARCH 18, 2025",2025-03-18
2025-03-18 16:22:18.312,"THAILAND: HEALTH CARE SERVICES SECTOR PULSE DAILY TUESDAY MARCH 18, 2025",2025-03-18
2025-03-18 16:12:25.716,"Comparative Performance Table: SET Index March 18, 2025",2025-03-18
2025-03-18 16:01:52.506,SCB X (SCB: THB124.0) strengthens above moving average price; +THB1 [+0.8%],2025-03-18
2025-03-18 15:43:23.252,"Comparative Performance Table: SET Index March 17, 2025",2025-03-18
2025-03-18 14:18:18.243,"Comparative Performance Table: SET Index March 17, 2025",2025-03-18
2025-03-18 13:35:01.018,"THAILAND: MEDIA & PUBLISHING SECTOR PULSE DAILY MONDAY MARCH 17, 2025",2025-03-18
2025-03-18 13:34:57.537,"THAILAND: BANK SECTOR PULSE DAILY MONDAY MARCH 17, 2025",2025-03-18
2025-03-18 11:28:22.013,"THAILAND: MEDIA & PUBLISHING SECTOR PULSE DAILY MONDAY MARCH 17, 2025",2025-03-18
2025-03-18 11:28:18.614,"THAILAND: BANK SECTOR PULSE DAILY MONDAY MARCH 17, 2025",2025-03-18
2025-03-17 16:56:39.467,"THAILAND: MEDIA & PUBLISHING SECTOR PULSE DAILY MONDAY MARCH 17, 2025",2025-03-17
2025-03-17 16:56:35.481,"THAILAND: BANK SECTOR PULSE DAILY MONDAY MARCH 17, 2025",2025-03-17
2025-03-17 16:37:06.563,"Comparative Performance Table: SET Index March 17, 2025",2025-03-17
2025-03-17 16:32:14.003,Past Week: The Siam Cement (SCC: THB169.50) in top 2% performers of SET100 Index in past week; +THB24 [16.5%] Vol Index 2.9 [1 is avg],2025-03-17
2025-03-17 16:27:29.143,Bank of Ayudhya (BAY: THB22.60) offers earnings yield of 19.8%; -10 satang [-0.4%],2025-03-17
2025-03-17 16:27:25.511,SCB X (SCB: THB123.0) offers earnings yield of 10.6%; -50 satang [-0.4%],2025-03-17
2025-03-17 06:29:31.590,Weekly: Central Retail Corporation (CRC: THB27.75) in bottom 4% performers of SET100 Index in past week; -THB3.25 [-10.5%],2025-03-17
2025-03-17 06:29:29.017,Weekly: NGERN TID LOR (TIDLOR: THB14.80) in bottom 3% performers of SET100 Index in past week; -THB1.80 [-10.8%],2025-03-17
2025-03-17 06:29:28.952,"Weekly: Tipco Asphalt (TASCO: THB14.80) falls for a third consecutive week, a three-week fall of 8%; -THB1.28 [-8.0%]",2025-03-17
2025-03-16 05:10:24.039,Stocks stage relief rally but trade tensions persist,2025-03-16
2025-03-15 15:37:42.478,"Comparative Performance Table: SET Index March 14, 2025",2025-03-15
2025-03-15 14:52:47.836,"Comparative Performance Table: SET Index March 14, 2025",2025-03-15
2025-03-15 14:23:43.167,"THAILAND: MEDIA & PUBLISHING SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-15
2025-03-15 14:23:36.578,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-15
2025-03-15 14:23:36.318,"THAILAND: PETROCHEMICALS & CHEMICALS SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-15
2025-03-15 14:23:35.829,"THAILAND: CONSTRUCTION MATERIALS SECTOR PULSE DAILY FRIDAY MARCH 14, 2025",2025-03-15
